iter	RMSE
216	19406.93598
217	19362.05909
218	19342.85896
219	19295.91099
220	19254.29105
221	19219.10578
222	19210.18556
223	19200.3436
224	19163.00669
225	19150.77807
226	19140.56243
227	19093.43527
228	19080.41745
229	19070.30014
230	19022.48611
231	18979.09394
232	18949.25958
233	18931.71962
234	18921.32911
235	18890.68901
236	18869.42097
237	18859.06666
238	18846.73801
239	18820.70017
240	18796.14308
241	18777.40011
242	18766.09115
243	18727.85648
244	18713.86464
245	18688.09702
246	18655.95492
247	18645.98851
248	18600.27339
249	18567.52168
250	18549.25861
251	18540.08122
252	18534.93566
253	18520.71241
254	18507.36355
255	18481.51943
256	18473.52628
257	18459.72912
258	18440.40357
259	18424.39915
260	18397.67723
261	18370.71389
262	18360.91072
263	18340.49064
264	18333.40212
265	18325.11457
266	18320.3305
267	18313.6449
268	18292.68416
269	18265.22711
270	18238.75787
271	18211.36734
272	18186.60793
273	18152.60356
274	18140.28955
275	18113.8352
276	18099.20055
277	18087.81254
278	18083.38275
279	18066.07207
280	18061.83588
281	18054.29098
282	18019.48276
283	17983.47146
284	17952.74198
285	17943.65798
286	17917.97848
287	17896.3615
288	17892.49479
289	17867.0533
290	17844.07693
291	17820.97291
292	17795.21444
293	17785.37591
294	17758.33855
295	17736.39854
296	17706.66208
297	17695.87854
298	17680.61586
299	17669.15069
300	17640.44456
301	17622.33881
302	17602.92763
303	17585.13636
304	17581.5777
305	17565.50728
306	17562.0907
307	17545.21541
308	17522.81062
309	17501.91867
310	17481.15055
311	17455.57164
312	17442.28834
313	17426.31169
314	17401.53364
315	17394.30688
316	17391.17632
317	17376.46243
318	17357.0973
319	17345.68783
320	17333.22961
321	17314.98057
322	17287.80193
323	17276.71821
324	17249.67573
325	17222.56394
326	17218.24723
327	17192.70447
328	17169.45133
329	17152.68244
330	17149.77373
331	17134.32788
332	17117.98862
333	17092.23019
334	17077.31191
335	17058.98115
336	17035.91063
337	17023.68908
338	17002.24663
339	16979.136
340	16963.10734
341	16951.58082
342	16939.43095
343	16920.86673
344	16910.02231
345	16892.43477
346	16877.9723
347	16862.82586
348	16853.29517
349	16835.7062
350	16819.22877
351	16808.54657
352	16786.20582
353	16758.7387
354	16743.01768
355	16718.97639
356	16703.21333
357	16682.73688
358	16665.06736
359	16649.64531
360	16635.9124
361	16624.13944
362	16608.31814
363	16592.42488
364	16579.30829
365	16566.60577
366	16557.8523
367	16540.82606
368	16525.05204
369	16509.95338
370	16495.10064
371	16482.1844
372	16463.86717
373	16456.99742
374	16448.67841
375	16434.1508
376	16414.62529
377	16403.11519
378	16386.85654
379	16372.73217
380	16362.79257
381	16344.48706
382	16324.70348
383	16310.11868
384	16296.46701
385	16282.80114
386	16274.75016
387	16266.53353
388	16249.13652
389	16232.7124
390	16218.24591
391	16206.30372
392	16192.50526
393	16178.74166
394	16167.29618
395	16155.71936
396	16148.0228
397	16136.92555
398	16124.28699
399	16116.81313
400	16105.63089
401	16097.36158
402	16081.98223
403	16074.24539
404	16057.89269
405	16039.79405
406	16025.8682
407	16012.76357
408	16000.82502
409	15987.92563
410	15978.57115
411	15966.17682
412	15955.75058
413	15944.83733
414	15929.97265
415	15915.28398
416	15901.94458
417	15892.10318
418	15880.61325
419	15869.77334
420	15861.0053
421	15848.64368
422	15833.55742
423	15818.85771
424	15806.98996
425	15793.28912
426	15783.23226
427	15768.41345
428	15755.06331
429	15742.24623
430	15737.21979
431	15730.82088
432	15723.43303
433	15701.12669
434	15690.70407
435	15680.86501
436	15665.29966
437	15652.35006
438	15636.29063
439	15627.4194
440	15610.36969
441	15589.82485
442	15583.44852
443	15560.95307
444	15550.62276
445	15538.50552
446	15528.03231
447	15520.24608
448	15510.5966
449	15498.58809
450	15491.21604
451	15483.081
452	15463.95596
453	15456.79199
454	15447.97922
455	15441.54634
456	15424.07691
457	15418.7699
458	15407.74308
