Year,Company,Model,Transmission,Kms_Driven,ownership,Fuel_Type,Passing,Area,Price
2016,Maruti,Celerio,Automatic,47465,1st Owner,Petrol,DL-6C,New Delhi,407000
2018,Maruti,Baleno,Manual,52716,2nd Owner,Petrol,TS-08,Hyderabad,651000
2017,Maruti,Ciaz,Manual,69680,1st Owner,Petrol,HR-26,Faridabad,564000
2012,Maruti,Alto,Manual,64934,2nd Owner,Petrol,AP-11,Hyderabad,205000
2018,Maruti,Baleno,Automatic,20578,2nd Owner,Petrol,MH-02,Mumbai,616000
2019,Maruti,Baleno,Manual,37865,1st Owner,Petrol,MH-47,Mumbai,645000
2021,Maruti,Swift,Manual,43062,1st Owner,Petrol,HR-14,Gurugram,600000
2020,Maruti,New Wagon-R,Manual,65225,1st Owner,Petrol,MP-09,Lasudia Mori,545000
2012,Maruti,Swift Dzire,Manual,124452,2nd Owner,Diesel,GJ-05,Surat,401000
2016,Maruti,Baleno,Manual,92262,1st Owner,Petrol,UP-14,Noida,471000
2015,Maruti,Wagon R 1.0,Automatic,64186,2nd Owner,Petrol,TS-07,Hyderabad,405000
2018,Maruti,Vitara Brezza,Manual,64938,1st Owner,Diesel,DL-9C,New Delhi,706000
2015,Maruti,Swift Dzire,Manual,31059,1st Owner,Petrol,DL-2C,Noida,446000
2019,Maruti,Alto K10,Manual,32334,2nd Owner,Petrol,KA-52,Bengaluru,378000
2021,Maruti,Alto,Manual,25833,1st Owner,CNG,MH-41,Nasik,450000
2014,Maruti,Swift Dzire,Manual,83127,2nd Owner,Petrol,GJ-01,Ahmedabad,410000
2018,Maruti,S Cross,Manual,122827,1st Owner,Diesel,HR-26,Noida,637000
2015,Maruti,Celerio,Manual,8038,2nd Owner,CNG,MH-46,Nagpur,353000
2013,Maruti,Swift,Manual,116936,1st Owner,Diesel,MH-31,Nagpur,431000
2020,Maruti,New Wagon-R,Manual,22750,1st Owner,Petrol,PB-91,Ludhiana,562000
2015,Maruti,Swift,Manual,10056,2nd Owner,Petrol,DL-8C,Noida,421000
2021,Maruti,Celerio,Manual,50153,1st Owner,CNG,MH-12,Pune,575000
2015,Maruti,Swift Dzire,Manual,17811,1st Owner,Petrol,KA-53,Bengaluru,686000
2017,Maruti,Celerio,Automatic,41859,1st Owner,Petrol,UP-14,Ghaziabad,471000
2020,Maruti,Baleno,Manual,31853,1st Owner,Petrol,HR-12,Noida,613000
2016,Maruti,Swift,Manual,31324,2nd Owner,Petrol,HR-26,Faridabad,513000
2017,Maruti,IGNIS,Manual,47474,2nd Owner,Petrol,DL-9C,Gurugram,524000
2014,Maruti,Swift Dzire,Manual,38491,1st Owner,Petrol,UP-16,Noida,400000
2019,Maruti,New Wagon-R,Manual,79510,1st Owner,Petrol,TS-07,Hyderabad,548000
2019,Maruti,Swift,Manual,68082,2nd Owner,Petrol,TN-11,Coimbatore,606000
2014,Maruti,Wagon R 1.0,Manual,94458,2nd Owner,Petrol,GJ-01,Ahmedabad,314000
2020,Maruti,S Cross,Automatic,43458,1st Owner,Petrol,TN-21,Chennai,996000
2017,Maruti,Baleno,Manual,44339,1st Owner,Petrol,TS-08,Hyderabad,658000
2021,Maruti,Baleno,Automatic,16108,1st Owner,Petrol,GJ-05,Surat,799000
2018,Maruti,Swift,Manual,98221,2nd Owner,CNG,HR-10,Gurugram,558000
2022,Maruti,Baleno,Manual,31735,1st Owner,Petrol,TS-08,Hyderabad,802000
2018,Maruti,Dzire,Automatic,32152,1st Owner,Petrol,TS-08,Hyderabad,736000
2013,Maruti,Alto 800,Manual,76257,3rd Owner,Petrol,AP-28,Hyderabad,227000
2013,Maruti,Ritz,Manual,84257,1st Owner,Diesel,MH-49,Nagpur,369000
2011,Maruti,Swift,Manual,81673,1st Owner,Petrol,HR-51,Gurugram,218000
2016,Maruti,Swift Dzire,Manual,25734,1st Owner,Petrol,KA-41,Bengaluru,634000
2018,Maruti,Alto 800,Manual,37303,1st Owner,Petrol,WB-08,Kolkata,273000
2018,Maruti,Ciaz,Manual,16093,1st Owner,Petrol,MH-43,Mumbai,793000
2015,Maruti,Celerio,Manual,37160,1st Owner,Petrol,MH-01,Nasik,361000
2017,Maruti,Dzire,Automatic,62535,1st Owner,Petrol,TS-09,Hyderabad,674000
2020,Maruti,S Cross,Automatic,27653,1st Owner,Petrol,TS-09,Hyderabad,1067000
2018,Maruti,Alto 800,Manual,36722,1st Owner,Petrol,MH-04,Nagpur,324000
2018,Maruti,Baleno,Manual,85705,1st Owner,Diesel,KA-05,Bengaluru,592000
2018,Maruti,Dzire,Manual,97025,2nd Owner,Diesel,GJ-01,Ahmedabad,657000
2021,Maruti,New Wagon-R,Manual,82599,1st Owner,CNG,UP-32,Lucknow,624000
2022,Maruti,S PRESSO,Automatic,5103,1st Owner,Petrol,TN-10,Chennai,580000
2014,Maruti,Swift,Manual,33869,1st Owner,Diesel,KA-03,Bengaluru,507000
2013,Maruti,Swift,Manual,97424,1st Owner,Petrol,DL-3C,Faridabad,325000
2020,Maruti,Alto,Manual,38431,1st Owner,Petrol,WB-02,Kolkata,305000
2014,Maruti,Swift,Manual,51903,1st Owner,Petrol,MH-05,Nagpur,461000
2021,Maruti,Celerio,Manual,52703,1st Owner,CNG,HR-30,Gurugram,526000
2022,Maruti,S PRESSO,Manual,18993,1st Owner,CNG,UP-78,Lucknow,500000
2019,Maruti,New Wagon-R,Manual,8834,1st Owner,Petrol,DL-8C,New Delhi,554000
2021,Maruti,Baleno,Manual,48207,1st Owner,Petrol,UP-32,Lucknow,722000
2016,Maruti,Vitara Brezza,Manual,93194,1st Owner,Diesel,MH-04,Mumbai,692000
2015,Maruti,Alto 800,Manual,19219,1st Owner,Petrol,MH-05,Pune,260000
2020,Maruti,Alto,Manual,75591,1st Owner,CNG,KA-17,Bengaluru,430000
2018,Maruti,Dzire,Manual,30927,2nd Owner,Petrol,DL-6C,Noida,582000
2015,Maruti,Swift,Manual,20248,1st Owner,Petrol,KA-53,Bengaluru,594000
2013,Maruti,Swift Dzire,Manual,45639,2nd Owner,Petrol,MH-03,Mumbai,428000
2013,Maruti,Wagon R 1.0,Manual,47038,1st Owner,Petrol,DL-9C,Gurugram,283000
2017,Maruti,Ciaz,Manual,60895,1st Owner,Diesel,HR-51,Faridabad,553000
2018,Maruti,Ciaz,Manual,35782,1st Owner,Petrol,MP-09,Lasudia Mori,738000
2010,Maruti,Swift Dzire,Manual,63696,1st Owner,Petrol,DL-5C,Noida,221000
2018,Maruti,Baleno,Manual,101272,1st Owner,Petrol,GJ-05,Surat,588000
2018,Maruti,Celerio,Automatic,46534,1st Owner,Petrol,KA-04,Bengaluru,501000
2019,Maruti,Swift,Manual,56187,1st Owner,Petrol,HR-26,New Delhi,537000
2017,Maruti,Celerio,Automatic,17472,1st Owner,Petrol,MH-04,Mumbai,456000
2021,Maruti,Baleno,Manual,17039,2nd Owner,Petrol,MH-12,Pune,758000
2017,Maruti,Swift,Manual,53486,1st Owner,Petrol,TN-11,Chennai,553000
2017,Maruti,IGNIS,Automatic,59293,1st Owner,Petrol,HR-26,Faridabad,577000
2018,Maruti,Swift,Automatic,31045,1st Owner,Petrol,DL-5C,Noida,590000
2014,Maruti,Alto 800,Manual,56722,1st Owner,Petrol,PB-10,Chandigarh,251000
2021,Maruti,Baleno,Automatic,40380,1st Owner,CNG,HR-26,Gurugram,812000
2010,Maruti,Wagon R 1.0,Manual,80320,1st Owner,Petrol,TN-07,Chennai,299000
2012,Maruti,Wagon R 1.0,Manual,88986,1st Owner,CNG,MH-03,Mumbai,276000
2015,Maruti,Wagon R 1.0,Manual,68548,3rd Owner,Petrol,MH-12,Pune,342000
2019,Maruti,Baleno,Manual,34496,1st Owner,Petrol,HR-29,New Delhi,608000
2015,Maruti,Celerio,Manual,17140,1st Owner,Petrol,MH-12,Pune,439000
2017,Maruti,Dzire,Automatic,69846,2nd Owner,Petrol,KA-01,Bengaluru,589000
2018,Maruti,Ciaz,Manual,54477,2nd Owner,Petrol,DL-10,New Delhi,761000
2017,Maruti,Swift,Manual,52382,1st Owner,Petrol,KA-25,Bengaluru,676000
2016,Maruti,Celerio,Manual,48810,1st Owner,Petrol,MH-05,Mumbai,389000
2016,Maruti,Celerio,Automatic,23308,1st Owner,Petrol,KA-03,Bengaluru,487000
2018,Maruti,Dzire,Automatic,41309,1st Owner,Petrol,DL-8C,Noida,661000
2021,Maruti,Baleno,Automatic,45046,2nd Owner,Petrol,HR-26,Gurugram,800000
2016,Maruti,Alto K10,Manual,90397,1st Owner,Petrol,UP-16,Noida,293000
2020,Maruti,IGNIS,Manual,46001,2nd Owner,Petrol,KA-51,Bengaluru,580000
2019,Maruti,Ciaz,Automatic,22170,1st Owner,Petrol,BR-01,Patna,816000
2017,Maruti,Swift,Manual,14097,2nd Owner,Petrol,DL-8C,Noida,518000
2016,Maruti,Celerio,Automatic,72575,2nd Owner,Petrol,TS-16,Hyderabad,426000
2010,Maruti,A Star,Manual,47148,1st Owner,Petrol,DL-3C,Ghaziabad,164000
2017,Maruti,Alto K10,Manual,74155,2nd Owner,Petrol,PB-08,Ludhiana,341000
2020,Maruti,Dzire,Automatic,40394,2nd Owner,Petrol,KA-04,Bengaluru,731000
2011,Maruti,Alto K10,Manual,25928,1st Owner,Petrol,KA-05,Bengaluru,248000
2021,Maruti,Dzire,Manual,33666,1st Owner,Petrol,GJ-05,Surat,719000
2015,Maruti,Swift,Manual,44795,2nd Owner,Diesel,KA-41,Bengaluru,614000
2016,Maruti,Baleno,Manual,45061,1st Owner,Petrol,HR-51,Noida,498000
2018,Maruti,Baleno,Manual,53715,4th Owner,CNG,TS-08,Hyderabad,651000
2016,Maruti,Wagon R 1.0,Manual,60569,2nd Owner,CNG,MH-03,Mumbai,380000
2010,Maruti,Wagon R 1.0,Manual,36007,1st Owner,Petrol,MH-02,Pune,241000
2015,Maruti,Swift,Manual,97286,1st Owner,Petrol,UP-16,Noida,405000
2019,Maruti,Dzire,Manual,42075,1st Owner,Petrol,DL-7C,Noida,619000
2015,Maruti,Alto 800,Manual,44787,1st Owner,Petrol,KA-05,Bengaluru,284000
2010,Maruti,Ritz,Manual,78242,1st Owner,Petrol,KA-51,Bengaluru,311000
2019,Maruti,Celerio,Manual,47671,1st Owner,Petrol,GJ-19,Surat,510000
2017,Maruti,Dzire,Manual,18097,1st Owner,Petrol,KA-04,Bengaluru,805000
2019,Maruti,Dzire,Manual,42110,1st Owner,Petrol,HR-29,Gurugram,580000
2015,Maruti,Baleno,Manual,55183,1st Owner,Petrol,TN-07,Chennai,567000
2017,Maruti,Celerio,Manual,66709,1st Owner,CNG,MH-43,Pune,460000
2016,Maruti,Baleno,Manual,35748,1st Owner,Petrol,MP-09,Lasudia Mori,513000
2019,Maruti,Vitara Brezza,Manual,54264,1st Owner,Diesel,UP-32,Lucknow,801000
2012,Maruti,Swift Dzire,Manual,57787,2nd Owner,Petrol,MH-02,Mumbai,368000
2019,Maruti,New Wagon-R,Manual,21779,1st Owner,CNG,DL-2C,New Delhi,576000
2014,Maruti,Alto 800,Manual,48946,2nd Owner,Petrol,KA-05,Bengaluru,256000
2019,Maruti,Alto,Manual,49111,1st Owner,Petrol,PB-91,Ludhiana,322000
2021,Maruti,Dzire,Automatic,9323,1st Owner,Petrol,KA-01,Bengaluru,786000
2016,Maruti,Swift Dzire,Manual,50500,2nd Owner,Petrol,TN-02,Chennai,575000
2022,Maruti,XL6,Automatic,10259,1st Owner,Petrol,PB-65,Chandigarh,1396000
2015,Maruti,Celerio,Automatic,70670,1st Owner,Petrol,DL-3C,Noida,386000
2018,Maruti,Wagon R 1.0,Manual,69638,1st Owner,CNG,MH-04,Mumbai,396000
2020,Maruti,S Cross,Automatic,42632,1st Owner,Petrol,TS-02,Hyderabad,1076000
2018,Maruti,IGNIS,Manual,51566,1st Owner,Petrol,KA-21,Bengaluru,508000
2017,Maruti,Baleno,Manual,23879,3rd Owner,Petrol,MH-02,Mumbai,546000
2020,Maruti,Alto,Manual,28756,1st Owner,Petrol,UP-13,Ghaziabad,386000
2014,Maruti,Swift,Manual,50772,1st Owner,Petrol,WB-02,Kolkata,295000
2020,Maruti,Celerio,Automatic,29864,3rd Owner,Petrol,TN-11,Chennai,512000
2012,Maruti,Alto K10,Manual,51033,2nd Owner,Petrol,TN-05,Chennai,236000
2016,Maruti,S Cross,Manual,117557,1st Owner,Diesel,WB-02,Kolkata,420000
2019,Maruti,New Wagon-R,Manual,53481,1st Owner,CNG,DL-1C,Noida,533000
2017,Maruti,Swift,Manual,27468,1st Owner,Petrol,HR-26,Noida,470000
2020,Maruti,S Cross,Manual,21540,1st Owner,Petrol,MH-12,Pune,1026000
2020,Maruti,S PRESSO,Manual,51289,1st Owner,CNG,DL-6C,Noida,503000
2013,Maruti,Wagon R 1.0,Manual,77907,1st Owner,Petrol,MH-46,Mumbai,308000
2017,Maruti,Ciaz,Manual,97446,1st Owner,Diesel,MH-48,Pune,614000
2014,Maruti,Wagon R 1.0,Manual,52914,1st Owner,Petrol,TN-22,Chennai,364000
2020,Maruti,Alto,Manual,28952,1st Owner,Petrol,PB-08,Ludhiana,354000
2012,Maruti,Swift,Manual,67974,1st Owner,Diesel,MH-02,Nagpur,419000
2020,Maruti,Baleno,Automatic,54205,1st Owner,Petrol,HR-98,New Delhi,675000
2015,Maruti,Celerio,Automatic,45701,2nd Owner,Petrol,KA-50,Bengaluru,487000
2020,Maruti,Baleno,Manual,56177,1st Owner,Petrol,GJ-18,Ahmedabad,644000
2011,Maruti,Wagon R 1.0,Manual,74354,2nd Owner,Petrol,KA-03,Bengaluru,286000
2018,Maruti,Alto 800,Manual,62659,1st Owner,Petrol,UP-32,Lucknow,291000
2012,Maruti,Ritz,Manual,87214,1st Owner,Petrol,DL-7C,Noida,220000
2018,Maruti,Alto 800,Manual,9370,1st Owner,Petrol,MH-46,Mumbai,336000
2016,Maruti,Vitara Brezza,Manual,66757,2nd Owner,Diesel,MH-43,Navi Mumbai,696000
2021,Maruti,Baleno,Manual,19682,2nd Owner,Petrol,UP-27,Noida,677000
2015,Maruti,Swift Dzire,Manual,61960,2nd Owner,Petrol,MH-08,Navi Mumbai,469000
2018,Maruti,Ciaz,Manual,57378,1st Owner,Petrol,GJ-01,Ahmedabad,794000
2013,Maruti,Alto 800,Manual,104180,1st Owner,CNG,MH-14,Pune,261000
2018,Maruti,Swift,Manual,38189,2nd Owner,Petrol,KA-01,Bengaluru,684000
2018,Maruti,Dzire,Automatic,24083,2nd Owner,Petrol,KA-53,Bengaluru,692000
2021,Maruti,Swift,Manual,42516,1st Owner,Petrol,TN-85,Chennai,660000
2019,Maruti,New Wagon-R,Manual,95841,1st Owner,CNG,DL-2C,New Delhi,492000
2021,Maruti,Ciaz,Manual,38754,1st Owner,Petrol,UP-52,Lucknow,824000
2015,Maruti,Swift,Manual,47124,1st Owner,Petrol,HR-26,Gurugram,414000
2018,Maruti,Baleno,Automatic,24571,1st Owner,Petrol,HR-26,New Delhi,683000
2021,Maruti,Alto,Manual,28156,1st Owner,CNG,MH-05,Navi Mumbai,419000
2018,Maruti,Ciaz,Automatic,26218,1st Owner,Petrol,HR-26,Noida,802000
2014,Maruti,Swift Dzire,Manual,42776,1st Owner,Petrol,GJ-06,Ahmedabad,459000
2021,Maruti,Baleno,Manual,37288,1st Owner,Petrol,CH-01,Chandigarh,710000
2018,Maruti,Dzire,Manual,70940,1st Owner,Petrol,TN-14,Chennai,582000
2016,Maruti,Swift Dzire,Manual,56176,1st Owner,Petrol,TN-09,Chennai,566000
2018,Maruti,IGNIS,Automatic,81236,1st Owner,CNG,UP-14,Noida,521000
2015,Maruti,Alto K10,Manual,60971,1st Owner,Petrol,KL-05,Kochi,296000
2016,Maruti,Wagon R 1.0,Manual,47140,1st Owner,CNG,MH-47,Nagpur,389000
2020,Maruti,S Cross,Manual,29648,2nd Owner,Petrol,UP-16,Ghaziabad,939000
2016,Maruti,Baleno,Manual,43655,1st Owner,Petrol,KA-03,Bengaluru,630000
2017,Maruti,Alto 800,Manual,36339,1st Owner,Petrol,WB-02,Kolkata,263000
2015,Maruti,Wagon R 1.0,Manual,52439,3rd Owner,Petrol,GJ-05,Surat,324000
2019,Maruti,Baleno,Automatic,25387,2nd Owner,Petrol,GJ-06,Ahmedabad,673000
2018,Maruti,Baleno,Manual,40396,1st Owner,Petrol,HR-26,New Delhi,544000
2015,Maruti,Swift Dzire,Manual,49625,2nd Owner,Petrol,DL-2C,Noida,463000
2022,Maruti,Celerio,Manual,7843,1st Owner,Petrol,GJ-06,Ahmedabad,537000
2017,Maruti,Celerio,Automatic,22308,2nd Owner,Petrol,KA-05,Bengaluru,478000
2018,Maruti,Celerio,Manual,90254,1st Owner,Petrol,TS-08,Hyderabad,444000
2019,Maruti,Vitara Brezza,Automatic,89657,1st Owner,Diesel,WB-02,Kolkata,704000
2021,Maruti,New Wagon-R,Manual,43390,1st Owner,CNG,PB-10,Ludhiana,588000
2016,Maruti,Alto 800,Manual,99026,3rd Owner,Petrol,WB-06,Kolkata,207000
2016,Maruti,Alto 800,Manual,37125,1st Owner,Petrol,MH-31,Nagpur,283000
2016,Maruti,Wagon R 1.0,Automatic,71947,1st Owner,Petrol,BR-01,Patna,320000
2017,Maruti,Celerio,Manual,79381,1st Owner,Petrol,TN-12,Chennai,393000
2017,Maruti,IGNIS,Automatic,31631,1st Owner,Petrol,MH-12,Pune,543000
2012,Maruti,Swift,Manual,24119,1st Owner,Petrol,DL-6C,New Delhi,314000
2019,Maruti,New Wagon-R,Manual,79997,1st Owner,CNG,GJ-27,Ahmedabad,555000
2019,Maruti,Baleno,Manual,38368,2nd Owner,Petrol,GJ-01,Ahmedabad,645000
2019,Maruti,Celerio,Manual,14005,2nd Owner,Petrol,GJ-06,Rajkot,473000
2013,Maruti,Ritz,Manual,54782,1st Owner,Petrol,KA-05,Bengaluru,406000
2020,Maruti,Alto,Manual,16411,1st Owner,Petrol,HR-20,New Delhi,391000
2018,Maruti,Alto K10,Manual,89919,1st Owner,Petrol,KA-04,Bengaluru,333000
2018,Maruti,Alto 800,Manual,41226,2nd Owner,Petrol,PB-10,Chandigarh,313000
2016,Maruti,Baleno,Manual,57053,1st Owner,Diesel,KA-02,Bengaluru,745000
2020,Maruti,Celerio,Manual,25268,1st Owner,Petrol,MP-04,Lasudia Mori,433000
2018,Maruti,Vitara Brezza,Manual,98557,1st Owner,Diesel,HR-27,Gurugram,591000
2017,Maruti,Baleno,Manual,13053,1st Owner,Petrol,HR-26,Gurugram,592000
2014,Maruti,Swift,Manual,118111,1st Owner,Diesel,KA-01,Bengaluru,532000
2018,Maruti,Ciaz,Manual,52130,1st Owner,Petrol,WB-02,Kolkata,626000
2018,Maruti,Baleno,Manual,89559,2nd Owner,CNG,GJ-03,Rajkot,640000
2017,Maruti,Baleno,Manual,79456,1st Owner,Petrol,KA-05,Bengaluru,639000
2017,Maruti,Vitara Brezza,Manual,97788,2nd Owner,Diesel,GJ-12,Ahmedabad,727000
2017,Maruti,Baleno,Manual,80830,1st Owner,Petrol,KA-03,Bengaluru,698000
2016,Maruti,Wagon R 1.0,Automatic,95574,1st Owner,Petrol,KA-02,Bengaluru,401000
2017,Maruti,IGNIS,Manual,26207,1st Owner,Petrol,DL-8C,Noida,531000
2018,Maruti,Wagon R 1.0,Manual,92055,1st Owner,CNG,MH-46,Nasik,431000
2021,Maruti,S Cross,Manual,11323,1st Owner,Petrol,TN-85,Chennai,877000
2019,Maruti,Celerio,Manual,9067,2nd Owner,Petrol,KA-25,Bengaluru,507000
2017,Maruti,Baleno,Manual,86541,1st Owner,Petrol,HR-51,Gurugram,554000
2018,Maruti,Swift,Automatic,37338,1st Owner,Petrol,DL-8C,New Delhi,614000
2012,Maruti,Wagon R 1.0,Manual,61504,1st Owner,Petrol,DL-2C,Noida,220000
2016,Maruti,Ciaz,Automatic,50687,1st Owner,Petrol,KA-03,Bengaluru,672000
2018,Maruti,Swift,Automatic,63025,1st Owner,Petrol,KA-01,Bengaluru,674750
2019,Maruti,Vitara Brezza,Manual,41612,1st Owner,Diesel,DL-12,Noida,761000
2017,Maruti,Wagon R 1.0,Manual,14524,1st Owner,Petrol,KA-53,Bengaluru,463000
2014,Maruti,Celerio,Manual,70625,1st Owner,Petrol,MP-04,Lasudia Mori,348000
2016,Maruti,Swift,Manual,65033,1st Owner,Petrol,GJ-03,Rajkot,485000
2015,Maruti,Swift Dzire,Manual,89997,2nd Owner,Diesel,TS-07,Hyderabad,635000
2013,Maruti,Alto 800,Manual,59845,1st Owner,Petrol,KA-41,Bengaluru,253000
2015,Maruti,Alto 800,Manual,25454,2nd Owner,Petrol,KL-01,Kochi,281000
2019,Maruti,Celerio,Manual,38673,1st Owner,CNG,MH-05,Navi Mumbai,493000
2011,Maruti,Ritz,Manual,57364,2nd Owner,Petrol,KA-02,Bengaluru,320000
2010,Maruti,Swift,Manual,115008,1st Owner,Petrol,WB-24,Kolkata,212000
2020,Maruti,S Cross,Manual,11063,1st Owner,Petrol,RJ-02,Mansarovar,1099000
2015,Maruti,Swift,Manual,63231,2nd Owner,Petrol,KA-01,Bengaluru,507000
2016,Maruti,Swift,Manual,47934,1st Owner,Petrol,DL-2C,Noida,399000
2014,Maruti,Swift,Manual,66156,2nd Owner,Petrol,MH-41,Nasik,409000
2012,Maruti,Swift,Manual,97310,1st Owner,Petrol,UP-80,Noida,301000
2020,Maruti,New Wagon-R,Manual,75084,1st Owner,Petrol,TS-35,Hyderabad,557000
2019,Maruti,XL6,Manual,29430,1st Owner,Petrol,GJ-02,Ahmedabad,970000
2017,Maruti,Celerio,Automatic,47734,2nd Owner,Petrol,TN-12,Chennai,414000
2017,Maruti,Swift,Manual,67841,1st Owner,Petrol,GJ-27,Ahmedabad,522000
2019,Maruti,IGNIS,Manual,20364,1st Owner,Petrol,UP-14,Ghaziabad,522000
2017,Maruti,Swift,Manual,51579,1st Owner,Petrol,GJ-06,Ahmedabad,540000
2020,Maruti,Ciaz,Manual,27344,1st Owner,Petrol,HR-87,Gurugram,875000
2017,Maruti,Swift,Manual,46387,1st Owner,Petrol,HR-10,New Delhi,442000
2013,Maruti,Swift Dzire,Manual,50493,1st Owner,Petrol,MH-01,Mumbai,417000
2014,Maruti,Celerio,Manual,45462,1st Owner,CNG,MH-12,Nagpur,373000
2020,Maruti,Baleno,Manual,30469,1st Owner,Petrol,HR-82,Gurugram,664000
2020,Maruti,Baleno,Manual,11683,1st Owner,Petrol,GJ-01,Ahmedabad,677000
2017,Maruti,Dzire,Automatic,52033,2nd Owner,Diesel,MH-05,Pune,736000
2017,Maruti,Swift,Manual,13559,1st Owner,Petrol,DL-1C,Noida,470000
2019,Maruti,Baleno,Manual,50252,1st Owner,Petrol,DL-10,Noida,613000
2018,Maruti,Baleno,Manual,29314,1st Owner,Petrol,WB-02,Kolkata,523000
2014,Maruti,Wagon R 1.0,Manual,66402,1st Owner,Petrol,DL-2C,Noida,320000
2019,Maruti,New Wagon-R,Manual,29548,1st Owner,Petrol,HR-51,Faridabad,538000
2019,Maruti,Alto,Manual,60299,1st Owner,Petrol,GJ-03,Rajkot,380000
2013,Maruti,Swift Dzire,Manual,59849,2nd Owner,Petrol,MH-12,Pune,440000
2017,Maruti,Ciaz,Manual,65329,1st Owner,Petrol,MH-12,Pune,636000
2019,Maruti,Ciaz,Manual,91391,1st Owner,Petrol,UP-32,Lucknow,668000
2017,Maruti,Alto K10,Manual,34853,1st Owner,Petrol,HR-26,Faridabad,352000
2013,Maruti,Alto 800,Manual,99427,2nd Owner,Petrol,KA-03,Bengaluru,227000
2017,Maruti,Vitara Brezza,Manual,67646,1st Owner,Diesel,UP-65,Lucknow,644000
2017,Maruti,Alto K10,Manual,47967,2nd Owner,Petrol,HR-36,New Delhi,359000
2019,Maruti,Ciaz,Automatic,59015,1st Owner,Petrol,PB-91,Chandigarh,955000
2018,Maruti,Swift,Automatic,49578,1st Owner,Petrol,KA-41,Bengaluru,711000
2016,Maruti,Swift,Manual,49414,2nd Owner,Petrol,DL-1C,Faridabad,429000
2017,Maruti,Wagon R 1.0,Manual,62419,1st Owner,CNG,MH-02,Navi Mumbai,392000
2017,Maruti,S Cross,Manual,113791,2nd Owner,Diesel,GJ-04,Surat,629000
2016,Maruti,Alto K10,Manual,42591,3rd Owner,Petrol,MH-14,Pune,303000
2010,Maruti,Alto K10,Manual,42373,2nd Owner,Petrol,DL-12,Gurugram,175000
2019,Maruti,IGNIS,Automatic,47844,2nd Owner,Petrol,TS-07,Hyderabad,527000
2017,Maruti,Wagon R 1.0,Manual,88437,1st Owner,Petrol,GJ-01,Ahmedabad,370000
2022,Maruti,Alto,Manual,653,1st Owner,Petrol,KA-04,Bengaluru,474000
2018,Maruti,Wagon R 1.0,Automatic,32330,1st Owner,Petrol,HR-52,Faridabad,449000
2016,Maruti,Vitara Brezza,Manual,98661,1st Owner,Diesel,MH-46,Mumbai,733000
2016,Maruti,Vitara Brezza,Manual,123776,2nd Owner,Diesel,MH-05,Mumbai,665000
2015,Maruti,Swift,Manual,62617,1st Owner,Petrol,DL-3C,Noida,367000
2018,Maruti,Celerio,Manual,77377,1st Owner,Petrol,GJ-01,Ahmedabad,403000
2014,Maruti,Wagon R 1.0,Manual,41368,1st Owner,Petrol,MH-02,Mumbai,357000
2019,Maruti,Swift,Manual,80882,1st Owner,Diesel,MP-09,Lasudia Mori,676000
2015,Maruti,Celerio,Automatic,82969,2nd Owner,Petrol,DL-9C,New Delhi,352000
2022,Maruti,Baleno,Manual,25298,1st Owner,Petrol,HR-36,New Delhi,885000
2017,Maruti,IGNIS,Manual,18649,1st Owner,Petrol,KA-05,Bengaluru,640000
2018,Maruti,Ciaz,Manual,28048,1st Owner,Petrol,GJ-01,Ahmedabad,820000
2018,Maruti,Dzire,Manual,62621,1st Owner,Petrol,DL-6C,Gurugram,566000
2017,Maruti,Celerio,Automatic,35381,1st Owner,Petrol,HR-26,Gurugram,480000
2019,Maruti,Dzire,Manual,40400,1st Owner,Petrol,GJ-13,Ahmedabad,603000
2013,Maruti,Swift,Manual,49347,1st Owner,Petrol,HR-26,New Delhi,348000
2017,Maruti,Baleno,Manual,20560,1st Owner,Petrol,DL-6C,Ghaziabad,548000
2014,Maruti,Alto 800,Manual,8835,1st Owner,Petrol,WB-02,Kolkata,226000
2016,Maruti,Swift Dzire,Manual,55632,1st Owner,Petrol,MH-47,Mumbai,496000
2017,Maruti,Baleno,Automatic,64616,1st Owner,Petrol,DL-12,New Delhi,572000
2015,Maruti,Wagon R 1.0,Manual,38892,1st Owner,Petrol,RJ-01,Mansarovar,372000
2018,Maruti,Swift,Automatic,22239,1st Owner,Petrol,KA-01,Bengaluru,680000
2015,Maruti,Swift,Manual,99940,2nd Owner,Petrol,KA-52,Bengaluru,496000
2015,Maruti,Ciaz,Manual,70473,1st Owner,Diesel,UP-14,Noida,521000
2017,Maruti,Swift,Manual,52858,1st Owner,Petrol,TS-09,Hyderabad,582000
2019,Maruti,Ciaz,Automatic,42471,1st Owner,Petrol,KA-51,Bengaluru,903000
2014,Maruti,Swift,Manual,63782,1st Owner,Petrol,KA-03,Bengaluru,515000
2018,Maruti,Celerio X,Automatic,84419,1st Owner,Petrol,RJ-21,Mansarovar,452000
2013,Maruti,Ertiga,Manual,80267,1st Owner,Diesel,KA-04,Bengaluru,786000
2021,Maruti,New Wagon-R,Manual,44203,1st Owner,CNG,DL-3C,New Delhi,590000
2022,Maruti,New Wagon-R,Manual,8408,1st Owner,CNG,BR-01,Patna,674000
2019,Maruti,S PRESSO,Manual,51395,1st Owner,Petrol,KA-42,Bengaluru,463000
2013,Maruti,Wagon R 1.0,Manual,50244,1st Owner,Petrol,MH-01,Mumbai,298000
