Year,Company,Model,Transmission,Kms_Driven,ownership,Fuel_Type,Passing,Area,Price
2018,Maruti,Celerio,Manual,65959,1st Owner,Petrol,CH-01,Chandigarh,396000
2015,Maruti,Alto K10,Automatic,29293,1st Owner,Petrol,DL-3C,New Delhi,343000
2018,Maruti,Dzire,Automatic,73705,1st Owner,Petrol,HR-26,Gurugram,647000
2018,Maruti,Alto K10,Automatic,29096,1st Owner,Petrol,WB-20,Kolkata,343000
2016,Maruti,Wagon R 1.0,Manual,64642,1st Owner,Petrol,DL-2C,Noida,359000
2017,Maruti,Baleno,Manual,57996,1st Owner,Petrol,DL-6C,Noida,524000
2022,Maruti,Baleno,Manual,41405,1st Owner,Petrol,BR-01,Patna,643000
2017,Maruti,Celerio,Manual,40997,2nd Owner,Petrol,KA-03,Bengaluru,456000
2018,Maruti,Wagon R 1.0,Manual,58165,2nd Owner,Petrol,MP-04,Lasudia Mori,383000
2016,Maruti,Ciaz,Manual,45173,3rd Owner,Petrol,MH-12,Pune,577000
2014,Maruti,Wagon R 1.0,Manual,82391,1st Owner,Petrol,KA-04,Bengaluru,328000
2019,Maruti,Baleno,Manual,15480,1st Owner,Petrol,HR-26,Gurugram,624000
2019,Maruti,Alto,Manual,25486,2nd Owner,Petrol,DL-8C,Noida,382000
2021,Maruti,Baleno,Automatic,22474,1st Owner,Petrol,BR-01,Patna,840000
2018,Maruti,Ertiga,Manual,67739,1st Owner,Diesel,MH-47,Pune,913000
2015,Maruti,Ciaz,Manual,84617,2nd Owner,Diesel,MH-40,Nagpur,599000
2015,Maruti,Alto 800,Manual,72796,1st Owner,Petrol,UP-80,Lucknow,213000
2011,Maruti,Swift,Manual,67009,2nd Owner,Petrol,GJ-01,Ahmedabad,335000
2014,Maruti,Swift,Manual,75360,2nd Owner,Diesel,CH-01,Chandigarh,381000
2012,Maruti,Swift Dzire,Manual,61036,1st Owner,Petrol,KA-04,Bengaluru,493000
2016,Maruti,Baleno,Manual,68584,1st Owner,Petrol,DL-10,Noida,454000
2018,Maruti,Wagon R 1.0,Manual,78901,1st Owner,CNG,MH-05,Nasik,456000
2015,Maruti,Alto K10,Manual,36627,1st Owner,Petrol,HR-03,Chandigarh,302000
2017,Maruti,Wagon R 1.0,Automatic,69159,1st Owner,Petrol,RJ-02,Mansarovar,412000
2018,Maruti,Ciaz,Automatic,75980,1st Owner,Petrol,MH-12,Pune,762000
2018,Maruti,Alto 800,Manual,62659,1st Owner,Petrol,TS-07,Hyderabad,306000
2017,Maruti,Swift,Manual,75176,1st Owner,Diesel,PB-06,Chandigarh,450000
2018,Maruti,Baleno,Manual,44712,1st Owner,Petrol,MH-02,Mumbai,614000
2020,Maruti,Dzire,Manual,58817,2nd Owner,Petrol,TS-28,Hyderabad,714000
2017,Maruti,Baleno,Manual,34102,1st Owner,Petrol,MH-03,Mumbai,624000
2019,Maruti,New Wagon-R,Manual,22863,2nd Owner,Petrol,HR-51,Rohtak,423000
2015,Maruti,Wagon R 1.0,Manual,79769,1st Owner,CNG,MH-47,Mumbai,353000
2018,Maruti,Vitara Brezza,Manual,105318,1st Owner,Diesel,TN-59,Coimbatore,832000
2016,Maruti,Swift,Manual,60380,1st Owner,Petrol,KL-47,Kochi,587000
2020,Maruti,Dzire,Manual,87904,1st Owner,Petrol,TS-10,Hyderabad,706000
2021,Maruti,S PRESSO,Manual,17455,1st Owner,Petrol,GJ-27,Ahmedabad,474000
2017,Maruti,Celerio,Manual,93039,1st Owner,CNG,MH-14,Pune,461000
2010,Maruti,Alto,Manual,49983,1st Owner,Petrol,HR-24,Chandigarh,149000
2019,Maruti,Swift,Manual,39682,1st Owner,Petrol,UP-14,Noida,689000
2019,Maruti,Alto,Manual,62809,1st Owner,Petrol,UP-72,Lucknow,278000
2016,Maruti,Alto 800,Manual,59281,2nd Owner,CNG,MH-48,Pune,282000
2014,Maruti,Alto 800,Manual,31933,2nd Owner,Petrol,AP-28,Hyderabad,277000
2018,Maruti,IGNIS,Automatic,68107,2nd Owner,Petrol,GJ-17,Ahmedabad,533000
2020,Maruti,Alto,Manual,18534,1st Owner,Petrol,KL-36,Kochi,368000
2018,Maruti,Dzire,Manual,30432,1st Owner,Petrol,MH-04,Mumbai,612000
2014,Maruti,Wagon R 1.0,Manual,99368,2nd Owner,CNG,MH-04,Pune,382000
2018,Maruti,Vitara Brezza,Manual,43109,1st Owner,Diesel,DL-3C,Noida,682000
2015,Maruti,Alto 800,Manual,84920,2nd Owner,CNG,GJ-05,Surat,228000
2014,Maruti,Swift,Manual,91398,3rd Owner,Petrol,KA-05,Bengaluru,450000
2015,Maruti,Alto K10,Manual,46499,2nd Owner,Petrol,PB-09,Chandigarh,261000
2020,Maruti,Swift,Manual,21826,1st Owner,Petrol,HR-51,Rohtak,549000
2012,Maruti,Swift,Manual,97529,1st Owner,Petrol,UP-16,New Delhi,247000
2015,Maruti,Wagon R 1.0,Manual,35153,1st Owner,Petrol,MH-01,Mumbai,333000
2013,Maruti,Wagon R 1.0,Manual,59730,2nd Owner,Petrol,AP-29,Hyderabad,340000
2019,Maruti,Celerio X,Automatic,27301,1st Owner,Petrol,MH-49,Nagpur,591000
2015,Maruti,Swift,Manual,88509,2nd Owner,Diesel,KA-25,Bengaluru,590000
2013,Maruti,Wagon R 1.0,Manual,82871,2nd Owner,Petrol,UP-32,Lucknow,233000
2012,Maruti,Wagon R 1.0,Manual,113543,2nd Owner,Petrol,AP-09,Hyderabad,307000
2016,Maruti,Baleno,Manual,58515,1st Owner,Petrol,DL-8C,Noida,434000
2016,Maruti,Swift Dzire,Manual,102359,1st Owner,Petrol,KA-05,Bengaluru,455000
2018,Maruti,Swift,Manual,61212,2nd Owner,Diesel,GJ-03,Rajkot,674000
2016,Maruti,Alto K10,Manual,32031,1st Owner,Petrol,HR-36,Gurugram,341000
2010,Maruti,Alto,Manual,34094,2nd Owner,Petrol,TN-06,Chennai,204000
2019,Maruti,New Wagon-R,Manual,19001,1st Owner,Petrol,WB-24,Kolkata,445000
2019,Maruti,Baleno,Manual,43697,1st Owner,Petrol,HR-10,Rohtak,579000
2015,Maruti,Alto 800,Manual,24509,1st Owner,Petrol,UP-14,Ghaziabad,251000
2015,Maruti,Wagon R 1.0,Manual,64984,1st Owner,Petrol,RJ-14,Mansarovar,396000
2018,Maruti,Alto K10,Manual,37107,2nd Owner,Petrol,HR-51,Faridabad,342000
2017,Maruti,Alto 800,Manual,61475,2nd Owner,Petrol,DL-2C,New Delhi,287000
2010,Maruti,Swift Dzire,Manual,69975,1st Owner,Petrol,DL-3C,New Delhi,193000
2016,Maruti,Alto 800,Manual,40133,3rd Owner,Petrol,TN-33,Coimbatore,277000
2019,Maruti,Swift,Automatic,36682,1st Owner,CNG,UP-32,Noida,658750
2022,Maruti,Alto,Manual,29930,1st Owner,Petrol,HR-34,New Delhi,343000
2019,Maruti,Alto,Manual,3315,2nd Owner,Petrol,KA-51,Bengaluru,389000
2018,Maruti,Celerio,Manual,76475,1st Owner,CNG,HR-26,New Delhi,435000
