iter	Passed	Remaining
512	583	553
513	583	552
514	584	550
515	585	549
516	586	547
517	587	546
518	588	545
519	588	543
520	589	542
521	590	540
522	591	539
523	592	538
524	593	537
525	594	535
526	595	534
527	596	532
528	596	531
529	597	530
530	598	528
531	599	527
532	600	525
533	600	524
534	601	523
535	602	521
536	603	520
537	604	518
538	605	517
539	606	516
540	607	515
541	608	514
542	609	512
543	610	511
544	611	510
545	612	509
546	613	508
547	627	517
548	628	516
549	636	520
550	637	519
551	638	518
552	639	516
553	640	515
554	641	514
555	644	514
556	645	513
557	648	513
558	649	512
559	652	512
560	653	511
561	656	511
562	657	510
563	660	510
564	661	509
565	664	509
566	664	507
567	668	508
568	669	506
569	674	508
570	675	507
571	676	505
572	679	506
573	680	504
574	681	503
575	688	506
576	689	505
577	689	503
578	690	502
579	691	500
580	692	499
581	693	498
582	694	496
583	695	495
584	696	494
585	697	492
586	698	491
587	699	490
588	700	488
589	701	487
590	702	485
591	703	484
592	704	483
593	704	481
594	706	480
595	707	479
596	708	478
597	709	476
598	709	475
599	710	473
600	711	472
601	712	471
602	713	469
603	714	468
604	715	467
605	716	465
606	717	464
607	718	463
608	719	461
609	720	460
610	721	459
611	722	458
612	723	457
613	724	455
614	726	454
615	726	453
616	727	451
617	728	450
618	729	449
619	730	447
620	731	446
621	732	445
622	733	443
623	734	442
624	735	441
625	736	439
626	737	438
627	738	437
628	739	435
629	739	434
630	740	433
631	741	432
632	749	434
633	752	434
634	754	433
635	756	432
636	758	432
637	766	434
638	770	435
639	773	435
640	782	438
641	783	436
642	784	435
643	786	434
644	790	435
645	794	435
646	797	435
647	798	433
648	799	432
649	800	430
650	800	429
651	801	427
652	802	426
653	803	425
654	804	423
655	804	422
656	805	420
657	806	419
658	807	417
659	808	416
660	808	414
661	809	413
662	810	411
663	811	410
664	811	409
665	812	407
666	813	406
667	814	404
668	815	403
669	816	401
670	816	400
671	817	399
672	818	397
673	819	396
674	819	394
675	820	393
676	821	391
677	822	390
678	823	389
679	823	387
680	824	386
681	825	384
682	826	383
683	826	382
684	827	380
685	828	379
686	829	377
687	830	376
688	831	375
689	832	374
690	833	372
691	834	371
692	835	370
693	836	368
694	837	367
695	838	366
696	839	364
697	840	363
698	841	362
699	841	360
700	842	359
701	843	358
702	844	356
703	845	355
704	849	355
705	851	354
706	852	353
707	853	351
708	855	351
709	857	350
710	858	349
711	859	347
712	862	347
713	863	346
714	865	344
715	866	343
716	867	342
717	869	341
718	869	340
719	870	338
720	872	337
721	873	336
722	874	334
723	875	333
724	876	332
725	877	331
726	878	329
727	879	328
728	880	327
729	881	325
730	882	324
731	882	323
732	883	321
733	884	320
734	885	319
735	886	317
736	887	316
737	887	315
738	888	313
739	889	312
740	890	311
741	891	310
742	892	308
743	893	307
744	894	306
745	895	304
746	895	303
747	896	302
748	897	300
749	898	299
750	899	298
751	900	297
752	901	295
753	902	294
754	903	293
755	904	291
756	905	290
757	906	289
758	911	289
759	913	288
760	914	287
761	915	285
762	917	284
763	918	283
764	919	282
765	921	281
766	923	280
767	924	279
768	925	277
769	927	276
770	927	275
771	928	274
772	929	273
773	930	271
774	931	270
775	932	269
776	933	267
777	933	266
778	934	265
779	935	263
780	936	262
781	937	261
782	938	259
783	939	258
784	939	257
785	940	256
786	941	254
787	942	253
788	943	252
789	944	251
790	945	249
791	946	248
792	947	247
793	948	246
794	949	244
795	951	243
796	952	242
797	953	241
798	955	240
799	956	239
800	957	237
801	961	237
802	963	236
803	965	235
804	966	234
805	967	232
806	968	231
807	973	231
808	974	230
809	976	228
810	977	227
811	978	226
812	979	225
813	980	223
814	981	222
815	982	221
816	982	220
817	984	218
818	985	217
819	986	216
820	987	215
821	988	214
822	989	212
823	990	211
824	991	210
825	992	209
826	993	207
827	994	206
828	994	205
829	995	203
830	997	202
831	998	201
832	999	200
833	1000	199
834	1001	197
835	1002	196
836	1003	195
837	1004	194
838	1005	192
839	1006	191
840	1007	190
841	1008	189
842	1009	187
843	1010	186
844	1011	185
845	1011	184
846	1012	182
847	1013	181
848	1014	180
849	1015	179
850	1016	177
851	1017	176
852	1018	175
853	1020	174
854	1021	173
855	1022	171
856	1023	170
857	1023	169
858	1024	168
859	1025	166
860	1026	165
861	1027	164
862	1028	163
863	1029	162
864	1030	160
865	1031	159
866	1032	158
867	1033	157
868	1034	155
869	1035	154
870	1036	153
871	1037	152
872	1038	151
873	1039	149
874	1039	148
875	1040	147
876	1041	146
877	1042	144
878	1043	143
879	1044	142
880	1045	141
881	1046	140
882	1047	138
883	1049	137
884	1050	136
885	1051	135
886	1052	134
887	1052	132
888	1053	131
889	1054	130
890	1055	129
891	1056	127
892	1057	126
893	1058	125
894	1059	124
895	1060	123
896	1062	121
897	1063	120
898	1064	119
899	1065	118
900	1067	117
901	1068	116
902	1069	114
903	1070	113
904	1071	112
905	1072	111
906	1073	110
907	1074	108
908	1075	107
909	1076	106
910	1076	105
911	1077	103
912	1078	102
913	1079	101
914	1082	100
915	1083	99
916	1084	98
917	1084	96
918	1085	95
919	1086	94
920	1087	93
921	1088	92
922	1089	90
923	1090	89
924	1090	88
925	1091	87
926	1092	86
927	1093	84
928	1094	83
929	1095	82
930	1099	81
931	1100	80
932	1101	79
933	1102	77
934	1103	76
935	1104	75
936	1105	74
937	1106	73
938	1107	71
939	1108	70
940	1109	69
941	1109	68
942	1110	67
943	1111	65
944	1113	64
945	1114	63
946	1115	62
947	1116	61
948	1117	60
949	1118	58
950	1119	57
951	1120	56
952	1120	55
953	1121	54
954	1122	52
955	1123	51
956	1124	50
957	1125	49
958	1125	48
959	1126	46
960	1128	45
961	1130	44
962	1132	43
963	1133	42
964	1133	41
965	1134	39
966	1135	38
967	1136	37
968	1137	36
969	1138	35
970	1138	34
971	1139	32
972	1140	31
973	1141	30
974	1143	29
975	1144	28
976	1145	26
977	1149	25
978	1150	24
979	1152	23
980	1154	22
981	1155	21
982	1156	20
983	1158	18
984	1159	17
985	1161	16
986	1162	15
987	1163	14
988	1166	12
989	1167	11
990	1168	10
991	1170	9
992	1171	8
993	1173	7
994	1175	5
995	1176	4
996	1177	3
997	1178	2
998	1178	1
999	1179	0
